#,Palabra, Nula[%], Baja[%] , Media[%], Alta[%], PFA,Categoría
1,abundancia,0,0,50,50,0.83,Alegría
2,acabalar,40,0,60,0,0.396,Alegría
3,acallar,50,40,10,0,0.198,Alegría
4,acatar,50,40,10,0,0.198,Alegría
5,acción,30,30,30,10,0.397,Alegría
6,aceptable,0,20,80,0,0.594,Alegría
7,aceptación,0,20,50,30,0.696,Alegría
8,acicate,10,50,40,0,0.429,Alegría
9,aclamación,10,10,10,70,0.799,Alegría
10,aclamar,10,10,10,70,0.799,Alegría
11,acogedor,0,0,50,50,0.83,Alegría
12,acoger,0,10,60,30,0.729,Alegría
13,acomodadamente,0,10,60,30,0.729,Alegría
14,acuciar,30,60,10,0,0.264,Alegría
15,acucioso,50,40,0,10,0.232,Alegría
16,adecuar,30,50,10,10,0.331,Alegría
17,adicto,20,30,50,0,0.429,Alegría
18,admirable,10,0,40,50,0.764,Alegría
19,admirablemente,10,10,20,60,0.765,Alegría
20,admiración,10,10,20,60,0.765,Alegría
21,admirar,10,10,30,50,0.731,Alegría
22,admitir,10,40,30,20,0.53,Alegría
23,adorable,0,0,30,70,0.898,Alegría
24,adorablemente,0,10,20,70,0.865,Alegría
25,adoración,0,30,10,60,0.765,Alegría
26,adorador,0,40,20,40,0.664,Alegría
27,adorar,0,20,30,50,0.764,Alegría
28,afable,10,0,60,30,0.696,Alegría
29,afán,10,0,40,50,0.764,Alegría
30,afectivo,0,0,40,60,0.864,Alegría
31,afecto,0,10,10,80,0.899,Alegría
32,afectuosamente,0,0,10,90,0.966,Alegría
33,afectuosidad,0,0,20,80,0.932,Alegría
34,afectuoso,0,0,30,70,0.898,Alegría
35,afervorizar,0,30,20,50,0.731,Alegría
36,afición,0,10,60,30,0.729,Alegría
37,aficionar,0,30,60,10,0.595,Alegría
38,afortunadamente,0,10,30,60,0.831,Alegría
39,afortunado,0,0,20,80,0.932,Alegría
40,agradable,0,10,10,80,0.899,Alegría
41,agradar,0,20,20,60,0.798,Alegría
42,agradecer,0,10,50,40,0.763,Alegría
43,agradecido,0,20,30,50,0.764,Alegría
44,agudeza,40,30,20,10,0.331,Alegría
45,aguzar,70,10,10,10,0.199,Alegría
46,ahínco,0,20,40,40,0.73,Alegría
47,ahíto,20,20,30,30,0.564,Alegría
48,airoso,20,30,10,40,0.565,Alegría
49,alabar,20,20,40,20,0.53,Alegría
50,alborozar,0,10,10,80,0.899,Alegría
51,alborozo,0,10,10,80,0.899,Alegría
52,alegrar,0,0,10,90,0.966,Alegría
53,alegre,0,0,0,100,1,Alegría
54,alegremente,0,0,0,100,1,Alegría
55,alegría,0,0,0,100,1,Alegría
56,alentar,0,20,40,40,0.73,Alegría
57,aliviar,0,10,50,40,0.763,Alegría
58,alivio,0,10,50,40,0.763,Alegría
59,allegar,20,60,10,10,0.364,Alegría
60,alma,20,50,20,10,0.397,Alegría
61,altivo,70,20,10,0,0.132,Alegría
62,altruismo,10,30,50,10,0.529,Alegría
63,alzar,40,40,10,10,0.298,Alegría
64,amabilidad,0,0,80,20,0.728,Alegría
65,amable,0,0,70,30,0.762,Alegría
66,amablemente,0,0,70,30,0.762,Alegría
67,amante,10,10,30,50,0.731,Alegría
68,amar,0,10,10,80,0.899,Alegría
69,amartelado,0,0,10,90,0.966,Alegría
70,amartelar,10,10,30,50,0.731,Alegría
71,amativo,0,20,30,50,0.764,Alegría
72,amatorio,0,20,10,70,0.832,Alegría
73,ambición,10,50,40,0,0.429,Alegría
74,ambicioso,20,50,30,0,0.363,Alegría
75,amigabilidad,0,0,30,70,0.898,Alegría
76,amigable,0,0,30,70,0.898,Alegría
77,amigablemente,0,0,40,60,0.864,Alegría
78,amigo,0,0,30,70,0.898,Alegría
79,amistad,0,0,10,90,0.966,Alegría
80,amistosamente,0,0,30,70,0.898,Alegría
81,amistoso,0,0,10,90,0.966,Alegría
82,amor,0,0,10,90,0.966,Alegría
83,amorosamente,0,0,20,80,0.932,Alegría
84,amorosidad,0,0,30,70,0.898,Alegría
85,amoroso,0,0,30,70,0.898,Alegría
86,amuleto,30,40,10,20,0.398,Alegría
87,anhelo,40,30,30,0,0.297,Alegría
88,animación,0,40,50,10,0.562,Alegría
89,animado,0,10,20,70,0.865,Alegría
90,animar,0,10,40,50,0.797,Alegría
91,ánimo,0,0,40,60,0.864,Alegría
92,animoso,0,0,50,50,0.83,Alegría
93,anticipar,50,30,20,0,0.231,Alegría
94,apaciguar,40,40,10,10,0.298,Alegría
95,apasionadamente,0,30,40,30,0.663,Alegría
96,apasionamiento,0,20,50,30,0.696,Alegría
97,apasionante,0,20,20,60,0.798,Alegría
98,apego,0,50,20,30,0.597,Alegría
99,apetecer,20,50,30,0,0.363,Alegría
100,aplaudir,0,10,40,50,0.797,Alegría
101,aplauso,0,10,50,40,0.763,Alegría
102,apreciar,0,30,50,20,0.629,Alegría
103,aprobación,10,20,50,20,0.596,Alegría
104,aprobar,0,40,20,40,0.664,Alegría
105,aprobatorio,0,40,0,60,0.732,Alegría
106,aquietar,50,50,0,0,0.165,Alegría
107,ardiente,40,20,40,0,0.33,Alegría
108,ardor,50,30,10,10,0.265,Alegría
109,armonía,0,0,40,60,0.864,Alegría
110,arreglar,20,60,20,0,0.33,Alegría
111,arrobo,20,10,30,40,0.631,Alegría
112,arrojo,30,30,40,0,0.363,Alegría
113,asombro,20,40,40,0,0.396,Alegría
114,atracción,0,30,40,30,0.663,Alegría
115,atractivo,0,20,50,30,0.696,Alegría
116,atraer,10,30,20,40,0.631,Alegría
117,atrayente,10,40,30,20,0.53,Alegría
118,atrayentemente,10,50,20,20,0.497,Alegría
119,autocomplacencia,10,20,40,30,0.63,Alegría
120,autorización,20,50,20,10,0.397,Alegría
121,autorrespeto,20,20,20,40,0.598,Alegría
122,autosatisfacción,10,0,30,60,0.798,Alegría
123,autosatisfecho,0,0,60,40,0.796,Alegría
124,autosuficiencia,0,20,30,50,0.764,Alegría
125,ávido,50,40,10,0,0.198,Alegría
126,avivar,30,40,30,0,0.33,Alegría
127,benefactor,10,20,60,10,0.562,Alegría
128,beneficencia,0,40,40,20,0.596,Alegría
129,beneficiado,0,0,50,50,0.83,Alegría
